,Nombre,Categoria_Especifica,Calificacion,Reviews,Direccion,Url
1067,Fuente Liverpool - Av. Prat,$ • Chilena,4.4,(94),"Arturo Prat 465, La Serena, Región de Coquimbo • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/fuente-liverpool-av-prat/RevpJNS8SXaHoXT3jkSokA
1068,Fuente Liverpool - Av. Prat,$ • Chilena,4.4,(94),"Arturo Prat 465, La Serena, Región de Coquimbo • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/fuente-liverpool-av-prat/RevpJNS8SXaHoXT3jkSokA
1069,Sólo Brasas - La Serena,$$ • Chilena,4.4,(52),"Av. Balmaceda 2081, La Serena, Región de Coquimbo • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/solo-brasas-la-serena/quQC32pMTJapuuaHUjYz4g
1070,Bakery - Prat,$ • Chilena,4.9,(43),"Arturo Prat 544, La Serena, Región de Coquimbo • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/bakery-prat/oxUA8YmPTdOM30nJx5SDjA
1071,Bakery - El Santo,$ • Chilena,4.6,(23),"Av. El Santo 1414, La Serena, Región de Coquimbo • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/bakery-el-santo/wl9W2NPrTeukP1s404bHEQ
1072,Bakery - El Santo,$ • Chilena,4.6,(23),"Av. El Santo 1414, La Serena, Región de Coquimbo • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/bakery-el-santo/wl9W2NPrTeukP1s404bHEQ
1073,Bakery - El Santo,$ • Chilena,4.6,(23),"Av. El Santo 1414, La Serena, Región de Coquimbo • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/bakery-el-santo/wl9W2NPrTeukP1s404bHEQ
1074,Bakery - El Santo,$ • Chilena,4.6,(23),"Av. El Santo 1414, La Serena, Región de Coquimbo • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/bakery-el-santo/wl9W2NPrTeukP1s404bHEQ
1075,Burger Club,$ • Hamburguesas,4.7,(279),"Av. Gabriela Mistral 3504, La Serena, Región de Coquimbo • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/burger-club/LLKtECHKT6yVZLsOd9t4OA
1076,Burger Club,$ • Hamburguesas,4.7,(279),"Av. Gabriela Mistral 3504, La Serena, Región de Coquimbo • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/burger-club/LLKtECHKT6yVZLsOd9t4OA
1077,Burger Club,$ • Hamburguesas,4.7,(279),"Av. Gabriela Mistral 3504, La Serena, Región de Coquimbo • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/burger-club/LLKtECHKT6yVZLsOd9t4OA
1078,Burger Club,$ • Hamburguesas,4.7,(279),"Av. Gabriela Mistral 3504, La Serena, Región de Coquimbo • Más información",https://www.ubereats.com/cl/la-serena/food-delivery/burger-club/LLKtECHKT6yVZLsOd9t4OA
